AH,Anhui,62000000
BJ,Beijing,21542000
CQ,Chongqing,30484300
FJ,Fujian,38565000
GD,Guangdong,113460000
GS,Gansu,25575254
GX,Guangxi Zhuangzu,48380000
GZ,Guizhou,34746468
HA,Henan,95590000
HB,Hubei,58500000
HE,Hebei,74700500
HI,Hainan,9257600
HK,Hong Kong,7482500
HL,Heilongjiang,38312224
HN,Hunan,67370000
JL,Jilin,27462297
JS,Jiangsu,80400000
JX,Jiangxi,45200000
LN,Liaoning,43900000
MO,Macao,667400
NM,Nei Mongol,24706321
NX,Ningxia Huizi,6301350
QH,Qinghai,5626722
SC,Sichuan,81100000
SD,Shandong,100472400
SH,Shanghai,24237800
SN,Shaanxi,37327378
SX,Shanxi,36500000
TJ,Tianjin,15621200
TW,Taiwan,23580000
XJ,Xinjiang Uygur,21815815
XZ,Xizang,3180000
YN,Yunnan,45966239
ZJ,Zhejiang,57370000
