Afghanistan	652090
Albania	28748
Algeria	2381741
American Samoa	199
Andorra	468
Angola	1246700
Anguilla	91
Antigua and Barbuda	442
Argentina	2780400
Armenia	29800
Aruba	180
Australia	7741220
Austria	83858
Azerbaijan	86600
Bahamas	13878
Bahrain	694
Bangladesh	143998
Barbados	430
Belarus	207600
Belgium	30528
Belize	22966
Benin	112622
Bermuda	53
Bhutan	47000
Bolivia	1098581
Bosnia and Herzegovina	51197
Botswana	581730
Brazil	8514877
British Virgin Islands	151
Brunei Darussalam	5765
Bulgaria	110912
Burkina Faso	274000
Burundi	27834
Cambodia	181035
Cameroon	475442
Canada	9970610
Cape Verde	4033
Cayman Islands	264
Central African Republic	622984
Chad	1284000
Channel Islands	195
Chile	756096
China	9596961
China: Hong Kong SAR	1099
China: Macao SAR	26
Christmas Islands	135
Cocos (Keeling) Islands	14
Colombia	1138914
Comoros	2235
Congo	342000
Cook Islands	236
Costa Rica	51100
Côte d'Ivoire	322463
Croatia	56538
Cuba	110861
Cyprus	9251
Czech Republic	78866
Democratic Republic of the Congo	2344858
Denmark	43094
Djibouti	23200
Dominica	751
Dominican Republic	48671
Ecuador	283561
Egypt	1001449
El Salvador	21041
Equatorial Guinea	28051
Eritrea	117600
Estonia	45100
Ethiopia	1104300
Faeroe Islands	1393
Falkland Islands (Malvinas)	12173
Fiji	18274
Finland	338145
France	551500
French Guiana	90000
French Polynesia	4000
Gabon	267668
Gambia	11295
Georgia	69700
Germany	357022
Ghana	238533
Gibraltar	6
Greece	131957
Greenland	2175600
Grenada	344
Guadeloupe	1705
Guam	549
Guatemala	108889
Guinea	245857
Guinea-Bissau	36125
Guyana	214969
Haiti	27750
Holy See	0
Honduras	112088
Hungary	93032
Iceland	103000
India	3287263
Indonesia	1904569
Iran (Islamic Republic of)	1648195
Iraq	438317
Ireland	70273
Isle of Man	572
Israel	22145
Italy	301318
Jamaica	10991
Japan	377873
Jordan	89342
Kazakhstan	2724900
Kenya	580367
Kiribati	726
Korea (Dem. People's Republic of)	120538
Korea (Republic of)	99538
Kuwait	17818
Kyrgyzstan	199900
Lao People's Democratic Republic	236800
Latvia	64600
Lebanon	10400
Lesotho	30355
Liberia	111369
Libyan Arab Jamahiriya	1759540
Liechtenstein	160
Lithuania	65300
Luxembourg	2586
Madagascar	587041
Malawi	118484
Malaysia	329847
Maldives	298
Mali	1240192
Malta	316
Marshall Islands	181
Martinique	1102
Mauritania	1025520
Mauritius	2040
Mexico	1958201
Micronesia Federated States of	702
Monaco	2
Mongolia	1564116
Montserrat	102
Morocco	446550
Mozambique	801590
Myanmar	676578
Namibia	824292
Nauru	21
Nepal	147181
Netherlands	41528
Netherlands Antilles	800
New Caledonia	18575
New Zealand	270534
Nicaragua	130000
Niger	1267000
Nigeria	923768
Niue	260
Norfolk Island	36
Northern Mariana Islands	464
Norway	385155
Occupied Palestinian Territory	6020
Oman	309500
Pakistan	796095
Palau	459
Panama	75517
Papua New Guinea	462840
Paraguay	406752
Peru	1285216
Philippines	300000
Pitcairn	5
Poland	312685
Portugal	91982
Puerto Rico	8875
Qatar	11000
Republic of Moldova	33851
Réunion	2510
Romania	238391
Russian Federation	17098242
Rwanda	26338
Saint Helena	308
Saint Kitts and Nevis	261
Saint Lucia	539
Saint Pierre and Miquelon	242
Saint Vincent and the Grenadines	388
Samoa	2831
San Marino	61
Sao Tome and Principe	964
Saudi Arabia	2149690
Senegal	196722
Serbia and Montenegro	102173
Seychelles	455
Sierra Leone	71740
Singapore	683
Slovakia	49033
Slovenia	20256
Solomon Islands	28896
Somalia	637657
South Africa	1221037
Spain	505992
Sri Lanka	65610
Sudan	2505813
Suriname	163820
Svalbard and Jan Mayen Islands	62422
Swaziland	17364
Sweden	449964
Switzerland	41284
Syrian Arab Republic	185180
Tajikistan	143100
Thailand	513115
The Former Yugoslav Rep. of Macedonia	25713
Timor-Leste	14874
Togo	56785
Tokelau	12
Tonga	747
Trinidad and Tobago	5130
Tunisia	163610
Turkey	783562
Turkmenistan	488100
Turks Caicos Islands	948
Tuvalu	26
Uganda	241038
Ukraine	603700
United Arab Emirates	83600
United Kingdom	242900
United Republic of Tanzania	945087
United States	9629091
United States Virgin Islands	347
Uruguay	175016
Uzbekistan	447400
Vanuatu	12189
Venezuela (Bolivarian Republic of)	912050
Viet Nam	331689
Wallis and Futuna Islands	200
Western Sahara	266000
Yemen	527968
Zambia	752618
Zimbabwe	390757
